broader,name,rank,color,beg,beg_margin_of_error,end,end_margin_of_error
Upper Ordovician,Hirnantian,Age,#A6DBAB,445.2,1.4,443.8,1.5
Upper Ordovician,Katian,Age,#99D69F,453.0,0.7,445.2,1.4
Upper Ordovician,Sandbian,Age,#8CD094,458.4,0.9,453.0,0.7
Paleozoic,Permian,Period,#F04028,298.9,0.15,251.902,0.024
Permian,Cisuralian,Epoch,#EF5845,298.9,0.15,273.01,0.14
Cisuralian,Artinskian,Age,#E37B68,290.1,0.26,283.5,0.6
Cisuralian,Asselian,Age,#E36350,298.9,0.15,293.51,0.17
Cisuralian,Kungurian,Age,#E38776,283.5,0.6,273.01,0.14
Cisuralian,Sakmarian,Age,#E36F5C,293.51,0.17,290.1,0.26
Permian,Guadalupian,Epoch,#FB745C,273.01,0.14,259.51,0.21
Guadalupian,Capitanian,Age,#FB9A85,264.28,0.16,259.51,0.21
Guadalupian,Roadian,Age,#FB8069,273.01,0.14,266.9,0.4
Guadalupian,Wordian,Age,#FB8D76,266.9,0.4,264.28,0.16
Permian,Lopingian,Epoch,#FBA794,259.51,0.21,251.902,0.024
Lopingian,Changhsingian,Age,#FCC0B2,254.14,0.07,251.902,0.024
Lopingian,Wuchiapingian,Age,#FCB4A2,259.51,0.21,254.14,0.07
Paleozoic,Silurian,Period,#B3E1B6,443.8,1.5,419.2,3.2
Silurian,Llandovery,Epoch,#99D7B3,443.8,1.5,433.4,0.8
Llandovery,Aeronian,Age,#B3E1C2,440.8,1.2,438.5,1.1
Llandovery,Rhuddanian,Age,#A6DCB5,443.8,1.5,440.8,1.2
Llandovery,Telychian,Age,#BFE6CF,438.5,1.1,433.4,0.8
Silurian,Ludlow,Epoch,#BFE6CF,427.4,0.5,419.2,3.2
Ludlow,Gorstian,Age,#CCECDD,427.4,0.5,425.6,0.9
Ludlow,Ludfordian,Age,#D9F0DF,425.6,0.9,423.0,2.3
Silurian,Pridoli,Epoch,#E6F5E1,423.0,2.3,419.2,3.2
Silurian,Wenlock,Epoch,#B3E1C2,433.4,0.8,427.4,0.5
Wenlock,Homerian,Age,#CCEBD1,430.5,0.7,427.4,0.5
Wenlock,Sheinwoodian,Age,#BFE6C3,433.4,0.8,430.5,0.7
